Formula,band_gap,density,vpa,packing fraction,avg d valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,transition metal fraction, mean Number, avg_dev Number, avg_dev MendeleevNumber, mean AtomicWeight, avg_dev AtomicWeight, mean MeltingT, avg_dev MeltingT, mode MeltingT, avg_dev Column, mean Row, avg_dev Row, range CovalentRadius, mean CovalentRadius, avg_dev CovalentRadius, mode CovalentRadius, range Electronegativity, mean Electronegativity, avg_dev Electronegativity, mean NdValence, avg_dev NdValence, avg_dev NValence, avg_dev NUnfilled, range GSvolume_pa, mean GSvolume_pa, mean GSbandgap, mean SpaceGroupNumber, avg_dev SpaceGroupNumber
Ba2CuGe2O7,0.196,4.845679265,17.00502611,0.569740588,2.5,0.270588235,0.376470588,0.352941176,0.083333333,21.75,16.04166667,21.70833333,49.62298333,39.22751389,513.6808333,535.3609722,54.8,3.958333333,3.166666667,1.361111111,149,105.3333333,45.88888889,66,2.55,2.648333333,0.923611111,2.5,3.75,2.958333333,0.791666667,54.485,20.66625,0.063833333,101.4166667,104.3194444
EuLi2GeS4,0.205,3.652472653,20.84191034,0.461799928,1.25,0.285714286,0.367346939,0.204081633,0,20.625,13.4375,36.1875,45.84325,33.229375,595.9025,278.64875,388.36,6.53125,3.25,0.875,93,124.25,20.3125,105,1.6,1.934375,0.66453125,1.25,2.1875,2.6875,1.4375,19.86666667,24.47489583,1.148875,149,79
BaCu2GeSe4,0.356,5.260127347,25.76373689,0.465312416,8.75,0.137254902,0.176470588,0.68627451,0.25,35.25,5.1875,19.375,81.612375,13.92865625,862.8675,368.8675,494,3.5625,4.25,0.4375,95,134.875,20.03125,120,1.66,2.1125,0.4375,8.75,2.1875,3.5625,0.8125,52.52,26.551875,0.447375,120,106
BaAg2SnS4,0.367,4.78923043,26.00571523,0.506953701,3.75,0.225806452,0.290322581,0.483870968,0.25,33,17,18.78125,75.004175,42.939175,691.0475,349.179375,388.36,3.5625,4.125,1.125,110,133,28,105,1.69,2.12875,0.45125,3.75,4.6875,3.1875,0.8125,47.26,29.0853125,1.101,137.5,67.5
SrCu2SnS4,0.403,4.228700144,22.66183967,0.461389739,3.75,0.225806452,0.290322581,0.483870968,0.25,26.25,10.25,19.25,57.71025,25.64525,728.0075,395.379375,388.36,3.5625,3.75,0.75,90,127.25,22.25,105,1.63,2.12875,0.45125,3.75,4.6875,3.1875,0.8125,43.16,26.6003125,1.101,137,67
BaCu2SnSe4,0.452,5.299959509,27.37439147,0.458888342,8.75,0.137254902,0.176470588,0.68627451,0.25,37.5,7.75,19.46875,87.371125,20.3236875,774.5775,347.951875,494,3.5625,4.375,0.5625,95,137.25,19.875,120,1.66,2.10625,0.44375,8.75,2.1875,3.5625,0.8125,52.52,27.836875,0.3995,109.5,95.5
BaGe2P2,0.513,4.539476695,25.20758608,0.526586003,4,0.25,0.25,0.5,0,30,12,23.04,68.9109048,30.34971424,811.48,395.344,317.3,4,4,0.8,108,133.8,32.48,107,1.3,1.858,0.3872,4,4.8,4.8,1.12,41.0197619,30.94809524,0.8032,136.6,107.68
LaSiP3,0.518,3.906908122,22.09391373,0.445380631,0.2,0.454545455,0.5,0.045454545,0,23.2,13.52,22,51.9824512,34.76920752,766.38,538.896,317.3,3.76,3.6,0.96,100,127.8,31.68,107,1.09,1.914,0.3312,0.2,0.32,0.72,1.84,16.4575,25.00964286,1.1296,85.4,100.08
BaAg2GeS4,0.596,4.706044124,24.43341592,0.516100211,3.75,0.225806452,0.290322581,0.483870968,0.25,30.75,14.75,18.6875,69.245425,37.180425,779.3375,390.9775,388.36,3.5625,4,1,110,130.625,28.28125,105,1.69,2.135,0.445,3.75,4.6875,3.1875,0.8125,47.26,27.8003125,1.148875,148,78
SrCu2GeSe4,0.599,5.123228961,24.43829586,0.449018866,8.75,0.137254902,0.176470588,0.68627451,0.25,33,2.25,19.53125,75.399,6.61625,869.1175,375.1175,494,3.5625,4.125,0.21875,75,132.375,15.65625,120,1.6,2.12,0.43,8.75,2.1875,3.5625,0.8125,43.16,25.381875,0.447375,119.5,105.5
