Formula,Band gap,MP-ID,density,vpa,packing fraction,Central symmetry
Ba3Ca2(SiN3)2,1.875,mp-1019520,4.570850516,17.67115814,0.834911065,0
IrI3,1.398,mp-1025442,6.805421997,34.94909385,0.320381094,0
ThTe3,1.088,mp-1025522,6.862530518,37.19337261,0.395978781,0
Y4Se3N2,1.445,mp-1029349,4.989108086,22.94759727,0.576815024,0
RbSbO2,2.277,mp-10418,4.7316901,20.9885425,0.821176644,0
Dy4Te3S4,1.672,mp-1095296,6.327594465,27.69953242,0.462871193,0
MnBi4S7,0.667,mp-1095372,6.246915557,24.7058398,0.369159382,0
K2Ga3CuSe6,1.081,mp-10973,4.169716116,27.36795845,0.503455361,0
NaFe(SO4)2,2.116,mp-1102092,2.901260061,12.92368388,0.332328326,0
FeSO4F,2.468,mp-1103970,3.27710935,12.37135993,0.228933649,0
Sr2SiS4,2.9,mp-1104926,3.188158542,24.67213191,0.517362691,0
Pr(ErS2)3,1.014,mp-1105696,5.962424686,23.25688211,0.511687173,0
MnGeO3,1.105,mp-1106201,4.935536567,11.8143675,0.379023376,0
KCuPdSe5,1.036,mp-11114,4.867372792,25.75157852,0.476938747,0
CaV(SiO3)2,2.347,mp-1133299,3.423270082,11.79636249,0.435000627,0
K2Ho4Cu4S9,0.9,mp-1172870,5.270524759,21.23658103,0.639226587,0
AsN(OF3)2,2.75,mp-1182477,2.657416696,14.67928303,0.084964114,0
LiAl(PS3)2,2.763,mp-1188124,2.175665036,22.00095545,0.24754199,0
Ca3(GaP2)2,1.088,mp-1189986,3.172073263,22.31072724,0.54008787,0
Ba2GeSe4,1.403,mp-11902,4.947741948,31.79401042,0.52536073,0
AgAs(SeF2)3,1.733,mp-1191037,4.291903451,18.77030367,0.221730236,0
TiP2PbO8,2.59,mp-1191155,4.477147696,13.75421887,0.312261006,0
HgTe2(OF5)2,2.481,mp-1192364,4.251363548,17.64874184,0.166851526,0
SbH5(Cl3O)2,1.924,mp-1192718,2.2629292,19.47279097,0.146870129,0
Cs3GeSe3,1.901,mp-1193194,4.328130251,38.81762426,0.913280443,0
Cs5Ga3Se7,2.083,mp-1193337,4.274200772,36.94444958,0.794550717,0
Mn5VO8,0.503,mp-1193782,4.700200248,11.44731213,0.46807261,0
Mn4SiTeCl2O7,2.533,mp-1193890,3.98346353,15.51655591,0.334079775,0
YTl2P2S7,2.131,mp-1194527,4.108003527,26.41159541,0.377327832,0
Sr2P7Cl,1.948,mp-1194705,2.832326933,25.06405394,0.401096188,0
K2CdSnS4,1.496,mp-1194826,3.053824197,29.7419994,0.564556105,0
Rb4U3(AsO8)2,1.95,mp-1195470,5.31406834,18.2712136,0.683067898,0
Tl5Ag3(PS3)4,1.672,mp-1195546,5.019639749,25.55765366,0.427378593,0
Tl4GeSe4,1.099,mp-1196396,7.061995459,31.50875297,0.52397216,0
Li3AsH16(SO2)4,2.328,mp-1196446,1.710802022,11.16598004,0.195127761,0
SrAu2(SO4)4,1.678,mp-1197529,3.73717238,16.72620777,0.221869806,0
K3Ta2Cu3S8,2.311,mp-1197797,3.769404861,25.50532173,0.548353995,0
Ba16Re6O37,1.597,mp-1197806,6.507866948,16.89432679,0.763859938,0
